CD_ENTIDADE,NM_ENTIDADE,TP_ENTIDADE,DC_TIPO_ENTIDADE,TX_ACERTO,DC_HABILIDADE,CD_HABILIDADE,VL_FILTRO_DISCIPLINA,VL_FILTRO_ETAPA,VL_FILTRO_REDE,VL_FILTRO_AVALIACAO,DC_FILTRO_AVALIACAO,NM_REGIONAL
00002,ITAPIPOCA,02,REGIONAL,0,Utilizar o princípio multiplicativo de contagem na resolução de problema.,H 08 (D047_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,ESTADUAL,18621,1º AVALIE.CE 2024,
00006,SOBRAL,02,REGIONAL,88,Utilizar as relações entre as medidas dos ângulos formados entre uma reta transversal e um feixe de retas paralelas para se obter a medida de um ângulo especificado.,H 17 (D157_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,ESTADUAL,18621,1º AVALIE.CE 2024,
00001,MARACANAU,02,REGIONAL,33,"Executar cálculos entre números representados em forma de potência, com expoentes inteiros, expressando o resultado em notação científica.",H 01 (D011_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),MARACANAU
00006,SOBRAL,02,REGIONAL,44,Corresponder números racionais a pontos da reta numérica.,H 02 (D015_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00007,CANINDE,02,REGIONAL,54,Reconhecer o sentido das relações lógico-discursivas em um texto.,H 08 (D039_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),CANINDE
00007,CANINDE,02,REGIONAL,62,Reconhecer o assunto de um texto lido.,H 11 (D028_P),LP,ENSINO FUNDAMENTAL DE 9 ANOS - 2º ANO,ESTADUAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),CANINDE
00008,BATURITE,02,REGIONAL,52,Utilizar informações apresentadas em tabelas ou gráficos na resolução de problemas.,H 20 (D201_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,MUNICIPAL,18621,1º AVALIE.CE 2024,
00003,ACARAU,02,REGIONAL,48,Utilizar informações apresentadas em tabelas ou gráficos na resolução de problemas.,H 20 (D201_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,PÚBLICA,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),ACARAU
00006,SOBRAL,02,REGIONAL,67,Corresponder figuras tridimensionais às suas planificações.,H 15 (D145_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,ESTADUAL,18621,1º AVALIE.CE 2024,
00005,TIANGUA,02,REGIONAL,69,Executar adição ou subtração com números naturais.,H 08 (D026_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 5º ANO,ESTADUAL,18771,2ª AVALIE.CE 2024 (AVALIAÇÃO IMPRESSA),TIANGUA
00004,CAMOCIM,02,REGIONAL,46,"Utilizar números inteiros, envolvendo diferentes significados das operações, na resolução de problemas.",H 06 (D041_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 8º ANO,PÚBLICA,18621,1º AVALIE.CE 2024,
00007,CANINDE,02,REGIONAL,31,Utilizar área de figuras bidimensionais na resolução de problema.,H 17 (D186_M),MT,ENSINO FUNDAMENTAL DE 9 ANOS - 9º ANO,ESTADUAL,18621,1º AVALIE.CE 2024,
